respondent_id,country,province,district,village,survey_date,interviewer_name,ke_survey_number,group_mgmt_personal.effect_yn_personal,group_mgmt_personal.benefits_personal,group_mgmt_personal.costs_personal,group_mgmt_personal.impact_personal,group_mgmt_community.effect_yn_community,group_mgmt_community.benefits_community,group_mgmt_community.costs_community,group_mgmt_community.impact_community,mgmt_who_most_positively,mgmt_who_most_negatively
1768,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Rodgers Charo,mcmtkng005,no,nothing,nothing,bad,yes,there is no positive impacts,some other community members withdrew from the management,bad,have not seen who has benefited,fishers used to depend on the market as a saving
713,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Rodgers Charo,mcmtkng004,no,for now there are no positive impacts maybe previous time,there isnt because i do not do any work there,bad,no,there are some who have benefited from the management,i dont know,neutral,the leaders are developing themselves,the common fishers
1880,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Rodgers Charo,mcmtkng006,no,some other time we get jobs from the management,none,neutral,no,get casual jobs and easy in getting fish,none,neutral,those who involve themselves and even the community for example carrying fish from the boat to the market place,the members know whats going on
151,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Rodgers Charo,mcmtkn006,yes,when started it was good but now things are not good,none,NA,yes,none,none,bad,none,i have not heard
1552,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Rodgers Charo,mcmtkng008,yes,none,i cant buy fish sometimes because of the prices,bad,yes,none,the management has made the fish prices to shoot high because they buy from fishers and then sell it to people,bad,the management leaders,the common member
671,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Maureen Shikami,mcmtkng009,yes,like the brokers we do not pay any fee cause we look for our own market,NA,NA,no,NA,NA,NA,leaders and a few people whom they know,the brokers - we buy a lot of fishso that we get good income but we do no have storage facilities
766,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Maureen Shikami,mcmtkng010,no,NA,NA,NA,yes,before we used to benefit with the market and freezers before the leaders corrupting them,nothing,bad,leaders and their closet allies,fishers have the ability to fish a lot of fish but they lack storage facilities
1322,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Maureen Shikami,mcmtkng011,no,NA,NA,NA,yes,all the sponsorship coming ends in their hands,they aretribalistic,bad,they let ring nets and cold storage but they took freezers to their own stores,the locals ring nets destroy corals hence decrease in fish
1726,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Maureen Shikami,mcmtkng012,no,NA,NA,NA,no,NA,NA,NA,the leaders- there is a lot of sponsorship but its only the leaders whom benefit,fishers whom are not able to buy the modern fishing gears are using the bmu ring nets which destroys the ocean environment
895,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Maureen Shikami,mcmtkng013,no,NA,NA,NA,no,NA,NA,NA,the leaders are benefiting while the community has nothing to be proud of,the community which is not in the management
2050,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Maureen Sikami,mcmtkn014,no,NA,NA,NA,no,if you do not have money to pay for the license the leaders understand,the management is irresponsible,neutral,the leaders because they corrupted,they are tribalistic
208,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Maureen Shikami,mcmtkng017,no,NA,NA,NA,yes,if visitors come here we know where to take them,there is tribalism,NA,the leaders whom they have chosen themselves on the basis of tribals,we fishers do not have a place to store our fish and we cannot even get loans
1932,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Maureen Shikami,mcmtkng018,no,NA,NA,NA,yes,because of the management visitors have to report to the office first,the management does not protect our resources,neutral,the management leaders - because sponsors constructed a market because of the fishers but they embezzled everything,fishers who fish a lot of fish and they lack storage facilities
21,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Maureen Shikami,mcmtkng019,yes,the nets were bought by the county government for the fishers,the leaders have not given the gears t fishers,neutral,yes,we have an office and freezers for the community,the nets and freezers are being used by the leaders only and they have distant themselves from us,neutral,the leaders and their people are the ones getting sponsorship,fishers who do not have good fishing gears
1170,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Mohamed Khamisi,mcmtkng020,no,NA,NA,neutral,no,NA,NA,neutral,fishers are the ones benefiting because after fishing they sell their fish and get income,the community have not benefited
1271,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Mohamed Khamisi,mcmtkng021,no,NA,NA,NA,no,sometimes the fish prices go down and the community get fish,none,neutral,the leaders cause if there is any type of help its them whom benefit,none
1952,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Mohamed Khamisi,mcmtkng022,no,NA,NA,NA,no,NA,NA,NA,"we all benefit from the fish surrounding, when fishers come with fish we buy fish for consumption and for selling",none
591,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Khamis Mohamed,mcmtkng023,no,NA,NA,NA,no,they help the community,NA,NA,leaders know the catch and their uses,fishers because their status are still low
933,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Mohamed Khamis,mcmtkn024,no,NA,NA,NA,no,NA,NA,NA,fishers and leaders get income from fishing,fishers sometimes they get nothing
128,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Hamisi Mohamed,mcmtkng0025,yes,none,they do not want us to buy fish fro fishers,neutral,no,we have cold storage ad we were given fishing gears,leaders use public resources alone,neutral,leaders they use the resources set aside for public for their own benefits,small fishers cause they are not given anything fro the management
2176,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Mohamed Hamisi,mcmtkng026,no,my son has been employed by Bmu,none,neutral,no,NA,NA,NA,fishers and members of the beach,the community is not getting any profit
102,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Mohamed Khamisi,mcmtkng027,no,NA,NA,NA,no,NA,NA,NA,none,none
67,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Mohamed Hamisi,mcmtkng028,no,NA,NA,NA,no,NA,NA,NA,leaders are using our money in a wrong way,fishers pay taxes and end up with nothing
1592,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Mohamed Hamisi,mcmtkng029,no,NA,NA,NA,no,NA,NA,NA,the bmu leaders beacause they use our money,fishers because we are taxed and we dont see the benefits of the taxation
1679,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Collins Katana,mcmtkng030,no,NA,NA,NA,no,NA,NA,NA,fishers are in the ocean all the time fishing,Fishers because they own the ocean and the landing site
1786,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Collins Katana,mcmtkng031,no,NA,NA,NA,no,NA,NA,NA,fishers because they are the owners,"fishers and takaungu community,because if fish is not found fishers and the community will get problems"
492,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Collins Katana,mcmtkng032,no,NA,NA,NA,no,NA,NA,NA,fishers are the ones in the ocean,fishers because they the owners down at the beach
539,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Collins Katana,mcmtkng033,no,NA,NA,NA,no,NA,NA,NA,none,none
633,Kenya,Coast,Kilifi,Takaungu,2017-05-26,Collins Katana,mcmtkng034,yes,there is no positive impancts,i have been negatively affected because there is no fishing development,bad,yes,none,exploitation against fishers community,bad,fishers but very few,fishers because of poor management
381,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Rodgers Charo,mcmtkng035,yes,none,i withdrew because bad governance,bad,yes,none,the community misses fish due to the closure of the market,bad,the leaders have developed themselves with the Bmu funds,the members have not had any benefits
1916,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Karisa Iha,mcmtkng036,no,NA,NA,NA,no,NA,NA,NA,none,none
855,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Karisa Iha,Mcmtkng037,yes,we had training,the management is not good,very_bad,yes,the business is good and fish are available,the management is not good,bad,fishers are fishing near,fishers and the community are not getting any benefits
494,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Karisa Iha,mcmtkng038,no,NA,NA,NA,no,NA,NA,NA,the management,fishers
956,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Karisa Iha,mcmtkng039,no,NA,NA,NA,no,NA,NA,NA,i dont know,fishers
1515,Kenya,Coast,Kilifi,Takaungu,2017-05-25,Karisa Iha,mcmtkng040,no,NA,NA,NA,no,NA,NA,NA,fish traders,fishers
324,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Karisa Iha,mcmtkng041,yes,less corruption,the where a bout of the fishers income is a mystery,bad,yes,they work with fisheries to give out fishing gears,"they have closed down the market, fish prices to shoot up any how and most of the leaders are corrupted",bad,some of the leaders have their own fish shops while the community is collapsing,some of the members are not benefiting
1814,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Karisa Iha,mcmtkng042,no,NA,NA,NA,no,NA,NA,NA,leaders,the members
1548,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Karisa Iha,mcmtkng043,no,NA,NA,NA,no,NA,NA,NA,i dont know,i dont know
1993,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Collins Katana,mcmtkng044,no,NA,NA,NA,no,NA,NA,NA,fishers-because they are in the fore front,fishers because they face all the problems
